CID,Brain,Kolb-X,Kolb-Y,Intelligence-1,Intelligence-2,Personality 
C344,BL,-2.0,0,Mu,Lo,SLOEN
C345,BR,2.0,-4,Lin,Lin,SCOAI
C346,BR,1.0,3,Mu,Lo,SCOAI
C347,FR,-1.0,-5,Na,Lo,RCOEI
C348,FL,-2.0,0,Inter,Bo,RLUEN
C349,BL,-2.0,0,Mu,Intra,SCOAI
C35,BR,3.0,3,Na,Lin,SCOAI
C350,BL,1.0,-1,Na,Lin,SCOAI
C351,BR,6.0,48,Lin,Bo,SCOAI
C352,BL,9.0,-5,Inter,Intra,RCOEN
C353,BL,5.0,2,Bo,Bo,SCOAN
C354,BL,1.0,-5,Inter,Lin,SLOAI
C355,BR,-2.0,-7,Mu,Inter,SLUAN
C356,FL,11.0,0,Na,Bo,RLUEN
C357,BR,11.0,-6,Lo,Lin,RCOAN
C358,BR,-5.0,0,Mu,Lin,SCUAN
C359,FL,3.0,-7,Vi,Intra,SCOAI
C36,BR,-4.0,-3,Bo,Vi,SLUEI
C360,FR,-6.0,3,Mu,Vi,SCOAN
C361,FR,-1.0,-2,Lin,Lin,SLOEN
C362,FL,-4.0,8,Lo,Bo,SCUAI
C363,FR,5.0,4,Lo,Inter,SCOEN
C364,FL,9.0,-4,Mu,Lin,SCOAI
C365,BR,0.0,4,Lo,Vi,RLOEN
C366,BR,-5.0,5,Mu,Inter,RLUEN
C367,BR,-7.0,8,Mu,Mu,SLOAI
C368,BR,0.0,-1,Inter,Lin,SLOAN
C369,BL,0.0,7,Intra,Mu,RCOAN
C37,BR,0.0,2,Inter,Mu,SCOAI
C370,BL,6.0,-9,Mu,Vi,SCOAN
C371,BR,-5.0,2,Na,Inter,RLUAI
C372,BR,7.0,-2,Mu,Inter,RLUAN
C373,BL,8.0,-5,Mu,Inter,RLOAN
C374,BR,-4.0,1,Inter,Lin,SCOAI
C375,BR,-5.0,10,Vi,Lo,SCUAN
C376,BL,-6.0,4,Lo,Intra,SLOAN
C377,BL,4.0,-7,Lo,Inter,RCOAN
C378,FL,-7.0,-2,Lin,Lo,SLOEN
C379,BL,-5.0,8,Bo,Mu,SCOAN
C38,BR,4.0,3,Lin,Vi,SCOAN
C380,BL,5.0,-5,Intra,Mu,RCOAN
C381,BL,-9.0,-3,Lin,Vi,SCOAN
C382,BR,5.0,-2,Mu,Lo,RCOAN
C383,BR,1.0,0,Na,Lin,SLOEN
C384,BR,-6.0,-4,Bo,Intra,SLUAI
C385,BL,-3.0,0,Mu,Vi,RCOEN
C386,BR,3.0,-2,Mu,Intra,SCOAN
C387,BL,-3.0,5,Inter,Mu,SCOAN
C388,BR,27.0,48,Mu,Inter,SCOAI
C389,BL,15.0,35,Lin,Inter,SLUAN
C39,FL,-11.0,2,Vi,Mu,SLUAI
C390,BR,0.0,6,Lo,Mu,SCOAN
C391,BR,0.0,4,Vi,Intra,SLUAN
C392,BR,-77.0,6,Lin,Inter,SCUEN
C393,FR,2.0,-1,Intra,Inter,SCOAI
C394,BL,-6.0,-4,Na,Lo,SCOAN
C395,BR,-6.0,2,Mu,Lo,SCOAN
C396,BL,1.0,4,Vi,Mu,RCOAN
C397,BR,1.0,4,Na,Vi,RCOAN
C398,BR,-6.0,2,Lo,Vi,RLOAI
C399,BL,-1.0,4,Inter,Lo,SCOAI
C4,BR,1.0,4,Lo,Vi,RCOEN
C40,BR,-3.0,-5,Na,Lo,SCOAN
C400,BL,-1.0,4,Na,Mu,SCOAN
C401,FR,-4.0,-6,Lin,Lin,SCUEN
C402,BR,5.0,-3,Na,Inter,SCUAI
C403,BL,7.0,-5,Na,Lin,RCOAN
C404,BR,3.0,7,Inter,Bo,RLOAN
C405,BR,3.0,6,Inter,Bo,SLOEI
C406,BL,-6.0,5,Bo,Inter,SCOEN
C407,BR,4.0,-2,Vi,Vi,SCOAI
C408,BR,-8.0,5,Mu,Lin,RCOEN
C409,BL,-1.0,-2,Lin,Lin,RLUAN
C41,BL,0.0,-4,Lin,Lo,SLUAN
C410,BL,0.0,3,Bo,Vi,SLUEI
C411,BR,0.0,-4,Mu,Mu,RLUAN
C412,BR,-4.0,5,Inter,Bo,RLUEN
C413,BR,0.0,3,Vi,Bo,RLUEN
C414,FR,0.0,-5,Mu,Vi,SLUEN
C415,BR,-8.0,5,Lo,Intra,RLUEN
C416,BR,-2.0,6,Vi,Vi,RLUEN
C417,BR,0.0,3,Mu,Vi,RLUEN
C418,BR,9.0,-3,Vi,Lin,RCUEN
C419,BL,0.0,-4,Vi,Intra,SLOAI
C42,BR,4.0,-6,Intra,Intra,SCOAI
C420,BR,1.0,3,Mu,Intra,SCOAN
C421,BL,5.0,-2,Lin,Bo,SCOAI
C422,BL,-6.0,-2,Na,Vi,SCOAN
C423,BR,-10.0,4,Bo,Inter,SCOAN
C424,BL,0.0,-4,Vi,Intra,SLOAI
C425,BR,1.0,3,Mu,Intra,SCOAN
