CID,BD,LSI,MI,PERSONALITY
C683,PBD,CE,M4,P13
C684,PBD,AE,M2,P8
C685,PBD,AE,M3,P4
C686,PBD,CE,M2,P9
C687,PBD,AE,M2,P6
C688,PBD,RO,M3,P13
C689,PBD,RO,M3,P9
C69,DB,AC,M2,P3
C690,PBD,AE,M3,P9
C691,PBD,CE,M3,P9
C692,PBD,RO,M3,P13
C693,PBD,CE,M2,P9
C694,PBD,AE,M3,P9
C695,FR,AE,M3,P13
C696,PBD,AE,M3,P9
C697,PBD,CE,M4,P13
C698,PBD,AC,M3,P9
C699,PBD,AE,M2,P1
C7,BPBD,CE,M3,P1
C70,PBD,CE,M4,P7
C700,PBD,AC,M3,P11
C701,PBD,AC,M3,P13
C702,PBD,CE,M3,P4
C703,FR,AE,M3,P14
C704,FR,AE,M2,P13
C705,PBD,AE,M3,P9
C706,PBD,AE,M4,P9
C707,PBD,AE,M2,P9
C708,FR,CE,M2,P9
C709,FR,AE,M4,P9
C71,T1,AC,M4,P1
C710,PBD,AE,M2,P1
C711,FR,CE,M2,P9
C712,PBD,AC,M4,P9
C713,PBD,AE,M2,P3
C714,PBD,AE,M3,P7
C715,BR,CE,M3,P14
C716,BR,AE,M3,P4
C717,PBD,RO,M3,P13
C718,FR,AE,M3,P2
C719,PBD,AE,M4,P10
C72,T1,AC,M4,P7
C720,PBD,CE,M2,P1
C721,FR,CE,M2,P7
C722,FR,AC,M2,P1
C723,FR,RO,M2,P3
C724,PBD,AE,M3,P14
C725,PBD,RO,M1,P14
C726,FR,AE,M1,P9
C727,PBD,CE,M3,P14
C728,PBD,AE,M2,P13
C729,PBD,CE,M1,P9
C73,PBD,AC,M3,P9
C730,PBD,RO,M2,P7
C731,PBD,AE,M3,P11
C732,PBD,AE,M3,P5
C733,PBD,AE,M3,P3
C734,PBD,AE,M2,P3
C735,PBD,AE,M2,P3
C736,PBD,RO,M3,P9
C737,PBD,AE,M3,P13
C738,PBD,RO,M2,P1
C739,PBD,CE,M2,P1
C74,PBD,RO,M3,P3
C740,PBD,AE,M4,P14
C741,FR,AE,M4,P14
C742,PBD,AE,M2,P10
C743,PBD,RO,M2,P6
C744,PBD,CE,M2,P9
C745,FR,AE,M2,P9
C746,PBD,RO,M3,P9
C747,PBD,CE,M2,P1
C748,PBD,RO,M3,P9
C749,PBD,RO,M3,P10
C75,BPBD,AE,M3,P10
C750,PBD,CE,M2,P14
C751,PBD,AE,M1,P1
