BD DIFF,LSI DIFF,MI DIFF,B5 DIFF,PERFORMANCE,CID
7,-3,23,-4,  POOR,C490
20,-1,8,-14,  GOOD,C491
17,0,24,-11,  GOOD,C492
5,-3,5,16,Excellent,C493
14,0,-3,1,  GOOD,C494
5,-6,-2,0,  GOOD,C495
12,-1,12,3,  AVERAGE,C496
20,1,23,-11,  POOR,C497
15,4,14,4,  POOR,C498
3,1,-5,-8,  POOR,C499
1,0,-47,21,  POOR,C5
14,-6,16,57,Excellent,C50
17,1,41,1,  GOOD,C500
7,3,-21,-6,Excellent,C501
13,-5,-16,-14,Excellent,C502
15,-2,45,7,Excellent,C503
5,3,-11,-28,Excellent,C504
7,1,-20,7,  GOOD,C505
-9,0,-5,-3,  GOOD,C506
3,7,-8,-27,  AVERAGE,C507
18,1,17,-2,  POOR,C508
16,-2,46,-44,  POOR,C509
18,0,-57,-10,  POOR,C51
17,2,17,-7,  POOR,C510
14,-1,-29,-7,  POOR,C511
0,2,-35,-4,  POOR,C512
1,2,-30,-12,  POOR,C513
28,-2,37,-11,  POOR,C514
30,-4,37,-11,  POOR,C515
14,-2,0,-15,  GOOD,C516
7,0,46,-27,Excellent,C517
19,1,-16,7,Excellent,C518
17,0,3,7,  POOR,C519
20,-2,29,-25,  ,C52
17,-1,15,0,  ,C520
-6,-1,-21,6,  GOOD,C521
18,-1,4,-21,Excellent,C522
10,3,42,23,Excellent,C523
28,2,-12,58,  GOOD,C524
14,-6,7,6,  GOOD,C525
3,1,-5,-8,Excellent,C526
17,1,41,1,Excellent,C527
7,3,-21,-6,Excellent,C528
13,-5,-16,-14,  GOOD,C529
1,2,13,3,  GOOD,C53
15,-2,45,7,  AVERAGE,C530
5,3,-11,-28,  POOR,C531
7,1,-20,7,  POOR,C532
-9,0,-5,-3,  GOOD,C533
3,7,-8,-27,  GOOD,C534
18,1,17,-2,  GOOD,C535
16,-2,46,-16,  GOOD,C536
17,2,17,-7,Excellent,C537
14,-1,-29,-7,Excellent,C538
0,2,-35,-4,Excellent,C539
0,0,7,-25,Excellent,C54
1,2,-30,-12,  GOOD,C540
28,-2,37,-11,Excellent,C541
30,-4,37,-11,Excellent,C542
14,-2,0,-15,Excellent,C543
7,0,46,-27,  GOOD,C544
19,1,-16,7,Excellent,C545
17,0,3,7,Excellent,C546
17,-1,15,0,Excellent,C547
-6,-1,-21,6,Excellent,C548
18,-1,4,-21,Excellent,C549
8,-4,29,-20,  POOR,C55
10,3,42,23,  POOR,C550
28,2,-12,58,  AVERAGE,C551
14,-6,7,6,  GOOD,C552
-7,4,-13,-18,  GOOD,C553
-7,-1,-41,10,Excellent,C554
-7,-4,22,-8,  GOOD,C555
-7,-1,-16,-2,  AVERAGE,C556
-7,1,18,-1,  POOR,C557
-7,-3,-23,10,  POOR,C558
-7,2,14,-12,Excellent,C559
13,2,-20,-11,Excellent,C56
-7,-4,-30,-13,Excellent,C560
-7,3,-6,5,Excellent,C561
-7,5,17,9,Excellent,C562
-7,5,-16,-8,Excellent,C563
-7,-3,35,-3,  GOOD,C564
-7,-3,-15,-6,  AVERAGE,C565
-7,3,-13,-8,  AVERAGE,C566
-7,-5,11,-3,  GOOD,C567
-7,-4,-42,6,  GOOD,C568
-7,0,-1,0,  GOOD,C569
14,-3,-85,-4,  GOOD,C57
-7,-5,-5,10,Excellent,C570
-7,-7,28,8,Excellent,C571
-3.666666667,-9,18,-8,Excellent,C572
-8.333333333,0,-2,14,  POOR,C573
5.666666667,-4,-25,-15,  AVERAGE,C574
-7,2,5,15,  GOOD,C575
-7,-2,-22,3,  GOOD,C576
-7,-4,12,-11,Excellent,C577
-7,1,-47,-13,Excellent,C578
-7,0,7,-12,  GOOD,C579
8,0,-51,6,Excellent,C58
-7,-2,22,-18,  POOR,C580
-7,-3,-24,-14,  POOR,C581
-7,4,-10,0,  GOOD,C582
-7,-3,5,3,  AVERAGE,C583
-7,1,-47,3,  AVERAGE,C584
-0.333333333,-2,-19,-14,  GOOD,C585
-9.666666667,1,-23,-20,  AVERAGE,C586
-7,0,-5,-11,Excellent,C587
-7,1,-9,-5,  GOOD,C588
-7,0,-36,2,Excellent,C589
7,-2,-21,-41,Excellent,C59
-7,3,4,2,Excellent,C590
-7,-5,-2,14,  GOOD,C591
-7,0,-11,-2,  GOOD,C592
-7,-3,-48,17,  ,C593
-7,-3,-9,-18,  ,C594
-7,-1,-16,-6,  POOR,C595
-7,-3,-28,-2,  POOR,C596
-8.333333333,-3,-47,18,  POOR,C597
-7,0,-6,8,  GOOD,C598
-7,1,-5,-8,  ,C599
-2,-4,17,-33,  AVERAGE,C6
7,-1,-22,-4,  AVERAGE,C60
-7,-2,12,-5,  GOOD,C600
-7,0,-44,-9,  GOOD,C601
-7,0,1,-9,  GOOD,C602
-7,-2,18,0,  GOOD,C603
-7,1,-34,1,  GOOD,C604
-7,-3,-6,25,Excellent,C605
-7,0,35,-20,  GOOD,C606
-7,-3,-9,12,  GOOD,C607
-7,0,-1,-22,Excellent,C608
-7,1,4,5,Excellent,C609
9,-4,-46,-4,Excellent,C61
-7,0,3,-12,Excellent,C610
-7,-2,13,13,  GOOD,C611
-15,-2,14,28,  GOOD,C612
-7,1,13,-17,  POOR,C613
-7,0,22,8,  POOR,C614
-5.666666667,2,13,6,  POOR,C615
-7,5,18,-11,  AVERAGE,C616
-8.333333333,5,10,-16,  GOOD,C617
-13.66666667,2,-8,-3,  GOOD,C618
-7,1,23,-2,  ,C619
7,4,3,-4,  POOR,C62
-7,-3,-6,-15,  POOR,C620
-7,-1,29,-16,  POOR,C621
-7,1,-6,-4,Excellent,C622
-7,4,-40,2,Excellent,C623
-7,1,2,-11,Excellent,C624
-10.33333333,-4,7,8,Excellent,C625
-7,1,-23,0,Excellent,C626
-7,2,-20,5,Excellent,C627
-7,-1,6,23,  AVERAGE,C628
-5.666666667,2,24,8,  POOR,C629
7,-1,-46,-3,  POOR,C63
-7,-2,14,-7,  GOOD,C630
-7,-3,11,9,  GOOD,C631
-7,-3,15,1,  AVERAGE,C632
